"V1","V2","weight","height","size1","size1mean","size1norm"
"L5_28586","L6_26059","100","1500","10511",81120.8357142857,0.129572136522614
"L5_32462","L6_26059","100","1500","15177",81120.8357142857,0.187091267815024
"L5_43104","L6_26059","100","1500","19359",81120.8357142857,0.238643991146541
"L6_26059","L7_24962","100","1600","5096495",90145.7555555556,56.5361615595878
"L6_26259","L7_25137","100","1600","670563",90145.7555555556,7.43865305545907
"L5_28804","L6_27528","100","1500","13704",81120.8357142857,0.168933170859662
"L6_27528","L7_26262","100","1600","13988",90145.7555555556,0.155170921956269
"L5_29096","L6_27795","100","1500","13120",81120.8357142857,0.161734033981229
"L6_27795","L7_24962","100","1600","40766",90145.7555555556,0.452223177328371
"L6_30486","L7_28913","100","1600","55146",90145.7555555556,0.611742612396368
"L5_291645","L6_31004","100","1500","15854",81120.8357142857,0.195436842586769
"L6_31004","L7_29331","100","1600","111391",90145.7555555556,1.23567659190955
"L5_33207","L6_31375","100","1500","11019",81120.8357142857,0.135834399423717
"L6_31375","L7_29666","100","1600","11169",90145.7555555556,0.123899344247181
"L6_32312","L7_30518","100","1600","25284",90145.7555555556,0.280479095706484
"L6_32522","L7_30682","100","1600","16055",90145.7555555556,0.178100454104082
"L6_35139","L7_33050","100","1600","28735",90145.7555555556,0.318761541493665
"L6_36211","L7_34037","100","1600","32162",90145.7555555556,0.356777751784209
"L6_36279","L7_34104","100","1600","105679",90145.7555555556,1.17231254371008
"L6_38770","L7_36393","100","1600","34674",90145.7555555556,0.384643733765489
"L6_39257","L7_36811","100","1600","53256",90145.7555555556,0.590776567036249
"L6_41254","L7_38653","100","1600","11796",90145.7555555556,0.130854746596808
"L6_43258","L7_40483","100","1600","30994",90145.7555555556,0.343820957614569
"L5_47385","L6_44061","100","1500","10047",81120.8357142857,0.123852274345229
"L6_44061","L7_41220","100","1600","10325",90145.7555555556,0.114536729282133
"L5_47674","L6_44116","100","1500","11517",81120.8357142857,0.141973389433065
"L5_282823","L6_44116","100","1500","21480",81120.8357142857,0.264790171487561
"L5_282824","L6_44116","100","1500","11943",81120.8357142857,0.147224814621785
"L6_44116","L7_24962","100","1600","943732",90145.7555555556,10.4689565713207
"L5_48105","L6_44693","100","1500","10366",81120.8357142857,0.127784679592182
"L6_44693","L7_41790","100","1600","10678",90145.7555555556,0.118452609711827
"L6_52500","L7_48828","100","1600","1005533",90145.7555555556,11.1545240683052
"L6_52945","L7_49228","100","1600","29322",90145.7555555556,0.325273218015564
"L6_62272","L7_57757","100","1600","32915",90145.7555555556,0.365130890491177
"L6_63169","L7_58597","100","1600","84791",90145.7555555556,0.940598916470831
"L6_66568","L7_61783","100","1600","19354",90145.7555555556,0.214696741745898
"L6_67263","L7_62451","100","1600","108028",90145.7555555556,1.19837034294337
"L5_88798","L6_67307","100","1500","12039",81120.8357142857,0.148408234382623
"L6_67307","L7_24962","100","1600","35737",90145.7555555556,0.396435747637345
"L6_67721","L7_62889","100","1600","21410",90145.7555555556,0.237504249291086
"L6_68376","L7_63513","100","1600","29528",90145.7555555556,0.32755840602836
"L6_69166","L7_64263","100","1600","26587",90145.7555555556,0.294933464544704
"L6_70541","L7_65545","100","1600","21293",90145.7555555556,0.236206351244984
"L6_70568","L7_65574","100","1600","14058",90145.7555555556,0.155947442154792
"L6_70953","L7_65945","100","1600","118403",90145.7555555556,1.31346172951016
"L6_72948","L7_59024","100","1600","32623",90145.7555555556,0.361891691948767
"L6_73896","L7_68691","100","1600","100465",90145.7555555556,1.11447288206581
"L5_83336","L6_76966","100","1500","14998",81120.8357142857,0.184884683052628
"L6_76966","L7_71572","100","1600","15573",90145.7555555556,0.172753557879967
"L6_77252","L7_71845","100","1600","15208",90145.7555555556,0.168704559701954
"L6_66142","L7_61386","100","1600","39034",90145.7555555556,0.433009848987775
"L6_79463","L7_73854","100","1600","31051",90145.7555555556,0.344453266919081
"L6_80691","L7_74995","100","1600","71197",90145.7555555556,0.789798693917678
"L6_83709","L7_77815","100","1600","19241",90145.7555555556,0.213443216282569
"L6_83989","L7_78080","100","1600","13781",90145.7555555556,0.15287464079778
"L5_92021","L6_84940","100","1500","10003",81120.8357142857,0.123309873621512
"L6_84940","L7_78994","100","1600","21250",90145.7555555556,0.235729345980177
"L6_87531","L7_81422","100","1600","36454",90145.7555555556,0.404389533099358
"L6_87867","L7_81742","100","1600","22520",90145.7555555556,0.249817641010521
"L6_66214","L7_61456","100","1600","10534",90145.7555555556,0.116855196732009
"L6_94584","L7_87986","100","1600","13112",90145.7555555556,0.145453326329039
"L6_102680","L7_95514","100","1600","18019",90145.7555555556,0.199887392245497
"L6_104551","L7_97261","100","1600","37770",90145.7555555556,0.41898811283159
"L6_107262","L7_99803","100","1600","13074",90145.7555555556,0.145031786792698
"L5_116484","L6_107632","100","1500","10051",81120.8357142857,0.123901583501931
"L6_107632","L7_100013","100","1600","10147",90145.7555555556,0.112562149348746
"L6_108752","L7_100970","100","1600","13608",90145.7555555556,0.150955526592859
"L6_111889","L7_104060","100","1600","75095",90145.7555555556,0.833039775829712
"L6_115771","L7_107663","100","1600","16923",90145.7555555556,0.187729304565766
"L6_130293","L7_120999","100","1600","21383",90145.7555555556,0.23720473435737
"L6_153240","L7_142570","100","1600","11081",90145.7555555556,0.122923147426181
"L6_153622","L7_142932","100","1600","32441",90145.7555555556,0.359872739432608
"L6_161589","L7_133401","100","1600","22970",90145.7555555556,0.254809556572455
"L6_169545","L7_157751","100","1600","215061",90145.7555555556,2.38570300592201
"L6_191884","L7_15219","100","1600","54015",90145.7555555556,0.599196264617376
"L5_206392","L6_191955","100","1500","11277",81120.8357142857,0.13901484003097
"L6_191955","L7_179279","100","1600","11413",90145.7555555556,0.126606071796318
"L6_192048","L7_179370","100","1600","39244",90145.7555555556,0.435339409583344
"L6_192450","L7_179750","100","1600","13571",90145.7555555556,0.150545080202211
"L5_208441","L6_193866","100","1500","12426",81120.8357142857,0.153178895293503
"L6_193866","L7_181065","100","1600","25506",90145.7555555556,0.282941774050371
"L6_194187","L7_181284","100","1600","77560",90145.7555555556,0.860384379963412
"L5_211787","L6_196863","100","1500","10011",81120.8357142857,0.123408491934915
"L6_196863","L7_183723","100","1600","10076",90145.7555555556,0.11177453600453
"L6_200579","L7_187122","100","1600","12097",90145.7555555556,0.134193783450456
"L6_200578","L7_187121","100","1600","39818",90145.7555555556,0.441706875211232
"L5_230794","L6_201255","100","1500","13690",81120.8357142857,0.168760588811206
"L6_201255","L7_187714","100","1600","129886",90145.7555555556,1.440844321505
"L5_216747","L6_201320","100","1500","14691",81120.8357142857,0.18110020527578
"L6_201320","L7_187714","100","1600","14898",90145.7555555556,0.165265684537067
"L6_202139","L7_188472","100","1600","33985",90145.7555555556,0.377000556382885
"L6_203398","L7_189569","100","1600","20863",90145.7555555556,0.231436298596914
"L6_196881","L7_15219","100","1600","26675",90145.7555555556,0.295909661365704
"L6_205452","L7_179171","100","1600","17266",90145.7555555556,0.191534253538529
"L5_222240","L6_206170","100","1500","10561",81120.8357142857,0.130188500981384
"L6_206170","L7_192067","100","1600","12265",90145.7555555556,0.136057431926911
"L6_206216","L7_192108","100","1600","21026",90145.7555555556,0.233244481344903
"L6_207538","L7_192108","100","1600","17117",90145.7555555556,0.189881374830244
"L6_194039","L7_181208","100","1600","24752",90145.7555555556,0.27457754219771
"L6_218636","L7_203335","100","1600","18680",90145.7555555556,0.207219961548692
"L6_222161","L7_206366","100","1600","36233",90145.7555555556,0.401937947901164
"L6_223138","L7_207442","100","1600","97661",90145.7555555556,1.08336770154212
"L6_223407","L7_207695","100","1600","23848",90145.7555555556,0.264549338491071
"L6_224285","L7_208513","100","1600","70230",90145.7555555556,0.779071622032368
"L6_225560","L7_209647","100","1600","87588",90145.7555555556,0.971626444974669
"L5_243788","L6_225739","100","1500","14512",81120.8357142857,0.178893620513384
"L6_225739","L7_209865","100","1600","16108",90145.7555555556,0.178688390825821
"L6_226953","L7_210999","100","1600","134708",90145.7555555556,1.49433547003754
"L6_227851","L7_208513","100","1600","16524",90145.7555555556,0.183303139434185
"L6_228710","L7_206366","100","1600","57616",90145.7555555556,0.639142682258535
"L6_228858","L7_212739","100","1600","53552",90145.7555555556,0.594060138161432
"L6_229351","L7_213164","100","1600","51446",90145.7555555556,0.570697973331585
"L6_234715","L7_218215","100","1600","27253",90145.7555555556,0.302321499576365
